#TAG, Souce Name (URL) , Purpose
M,daviderestivo/emacs-head, "Emacs brew repo"
MX,cavaliercoder/dmidecode/dmidecode, "dmidecode repo"
M,homebrew/cask-fonts," Nerd font Repo"
M,amar1729/formulae,"Browserpass Repo"
M,koekeishiya/formulae, "SKHD repo"
